order_id,order_date,customer,region,product,qty,unit_price,total,status
1001,2026-03-04,Acme Corp,nyc,Widget Pro,3,"$1,234.50","$3,703.50",shipped
1002,04/03/2026,Globex Incorporated,New York,Widget Lite,10,"$89.99","$899.90",SHIPPED
1003,Mar 6 2026,Initech,n-y-c,Gadget X,2,"$2,150.00","$4,300.00",Shipped
1004,2026-03-07,Umbrella Ltd,West,Widget Pro,5,"$1,234.50","$6,172.50",pending
1005,2026-03-07,Umbrella Ltd,West,Widget Pro,5,"$1,234.50","$6,172.50",pending
1006,12/03/2026,Stark Industries,East,Gadget X,1,"$2,150.00","$2,150.00",shipped
1007,2026-03-09,Wayne Enterprises,NYC,Gizmo Mini,20,"$45.00","$900.00",SHIPPED
1007,2026-03-09,Wayne Enterprises,NYC,Gizmo Mini,20,"$45.00","$900.00",SHIPPED
1008,2026-03-10,,West,Widget Lite,4,"$89.99","$359.96",shipped
1009,15/03/2026,Soylent Co,west,Gadget X,2,"$2,150.00","$4,500.00",shipped
1010,2026-03-12,Hooli,n-y-c,Widget Pro,-2,"$1,234.50","-$2,469.00",cancelled
1011,2026-03-13,Acme Corp,NYC,Gizmo Mini,15,"$45.00","$675.00",Pending
1012,Mar 14 2026,Massive Dynamic,East,Widget Lite,8,"$89.99","$719.92",shipped
1013,2026-03-15,Globex Incorporated,New York,Gadget X,,,,shipped
1014,2026-03-16,Initech,west,Widget Pro,6,"$1,234.50","$7,407.00",shipped
1015,17/03/2026,Vehement Capital,NYC,Gizmo Mini,12,"$45.00","$540.00",SHIPPED
1016,2026-03-18,Stark Industries,East,Widget Lite,3,"$89.99","$269.97",shipped
1017,2026-03-19,,NYC,Gadget X,1,"$2,150.00","$2,150.00",pending
1018,2026-03-20,Umbrella Ltd,West,Widget Pro,7,"$1,234.50","$8,641.50",Shipped
1019,22/03/2026,Wayne Enterprises,n-y-c,Gizmo Mini,25,"$45.00","$1,125.00",shipped
1020,2026-03-23,Hooli,NYC,Widget Lite,,"$89.99","$899.90",shipped
1021,2026-03-24,Soylent Co,New York,Gadget X,2,"$2,150.00","$4,300.00",SHIPPED
1021,2026-03-24,Soylent Co,New York,Gadget X,2,"$2,150.00","$4,300.00",SHIPPED
1022,Mar 25 2026,Massive Dynamic,west,Widget Pro,4,"$1,234.50","$4,938.00",Pending
1023,2026-03-26,Acme Corp,East,Gizmo Mini,18,"$45.00","$810.00",shipped
1024,2026-03-27,Initech,NYC,Gadget X,1,"2,150.00 USD","$2,150.00",shipped
1025,2026-03-28,Vehement Capital,West,Widget Lite,6,"$89.99","$539.94",shipped
1026,29/03/2026,Globex Incorporated,n-y-c,Widget Pro,2,"$1,234.50","$2,469.00",SHIPPED
1027,2026-03-30,Stark Industries,New York,Gizmo Mini,30,"$45.00","$1,350.00",shipped
1028,2026-03-31,Umbrella Ltd,East,Gadget X,3,"$2,150.00","$6,450.00",Shipped
1029,01/04/2026,Hooli,NYC,Widget Lite,5,"$89.99","$449.95",pending
1030,2026-04-02,Wayne Enterprises,n-y-c,Widget Pro,9,"$1,234.50","$11,110.50",shipped
1031,2026-04-03,Soylent Co,West,Gizmo Mini,22,"$45.00","$990.00",SHIPPED
1032,Apr 4 2026,Massive Dynamic,NYC,Gadget X,2,"$2,150.00","$4,300.00",shipped
1033,2026-04-05,,East,Widget Lite,7,"$89.99","$629.93",shipped
1034,2026-04-06,Vehement Capital,New York,Widget Pro,1,"$1,234.50","$1,234.50",Pending
1035,07/04/2026,Acme Corp,west,Gizmo Mini,14,"$45.00","$630.00",shipped
1036,2026-04-08,Initech,NYC,Gadget X,2,"$2,150.00","$4,730.00",shipped
1037,2026-04-09,Globex Incorporated,East,Widget Lite,11,"$89.99","$989.89",SHIPPED
1038,2026-04-10,Stark Industries,West,Widget Pro,3,"$1,234.50","$3,703.50",shipped
1039,2026-04-11,Hooli,n-y-c,Gizmo Mini,19,"$45.00","$855.00",shipped
1040,12/04/2026,Umbrella Ltd,NYC,Gadget X,4,"$2,150.00","$8,600.00",Shipped
